N,m,S,pair_excess,missing_count,peak,H3,H4,E,Emin,rho,count_w1,count_w2,count_w3,count_w4,count_w5,count_w6plus,spike_mass,spike_mass_per_N,spike_mass_per_excess,gap,APcover_k1,APcover_k2,APcover_k3,APcover_k4
100,17,136,36,4,4,10,2,244,208,1.173077,68,18,8,2,0,0,7,0.07,0.19444444444444445,36,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.5882352941176471
100,18,153,53,0,5,14,4,309,259,1.193050,66,20,10,3,1,0,18,0.18,0.33962264150943394,50,0.3333333333333333,0.5555555555555556,0.7222222222222222,0.8888888888888888
100,19,171,71,0,4,17,3,359,313,1.146965,49,34,14,3,0,0,20,0.2,0.28169014084507044,46,0.21052631578947367,0.42105263157894735,0.5789473684210527,0.7368421052631579
200,24,276,76,12,7,16,11,572,428,1.336449,133,39,5,8,1,2,33,0.165,0.4342105263157895,144,0.3333333333333333,0.5,0.625,0.7083333333333334
200,25,300,100,7,5,24,7,608,500,1.216000,120,49,17,4,3,0,34,0.17,0.34,108,0.12,0.24,0.36,0.48
200,26,325,125,2,6,27,11,715,575,1.243478,115,56,16,6,4,1,46,0.23,0.368,140,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.5769230769230769
